"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X11493"	34	29	32	35	38	12	23	38
"X11498"	39	28	31	37	40	11	24	39
"X11503"	37	29	31	38	35	12	24	42
"X11506"	40	31	33	40	41	12	23	41
"X11507"	41	31	33	40	41	12	24	41
"X11508"	36	27	30	35	37	11	21	38
"X11520"	40	30	31	39	40	12	24	42
"X11533"	41	29	27	40	40	11	24	40
"X11534"	38	31	30	39	40	12	24	41
"X11537"	40	31	32	38	41	12	23	41
"X1154"	41	30	30	39	40	10	24	40
"X11544"	41	31	33	40	39	12	24	38
"X11546"	35	30	33	36	37	12	22	37
"X11550"	41	31	33	40	40	12	23	42
"X11551"	37	26	29	36	37	11	23	38
"X11557"	38	30	33	39	40	12	24	41
"X11563"	35	27	27	37	36	11	23	36
"X11565"	40	31	31	40	41	12	24	41
"X11566"	39	27	23	36	38	10	21	38
"X11568"	34	26	29	34	38	11	23	35
"X1157"	41	31	33	40	41	12	24	42
"X11570"	41	31	33	40	41	12	24	41
"X11571"	36	31	33	37	35	12	24	40
"X1158"	36	27	29	35	37	11	24	36
"X11580"	41	31	33	40	41	12	24	42
"X11582"	41	31	33	39	40	12	24	42
"X11584"	33	29	30	35	38	12	24	38
"X1159"	35	28	28	36	34	11	23	40
"X11591"	40	29	32	38	40	12	23	41
"X11593"	36	30	32	36	39	12	23	38
"X11595"	38	27	32	37	37	11	23	41
"X1160"	41	30	33	40	40	12	24	41
"X11601"	40	31	32	38	39	12	24	41
"X11605"	40	30	33	40	41	12	23	42
"X11606"	41	31	33	40	41	12	24	42
"X11607"	33	26	29	38	40	12	21	41
"X11609"	38	30	33	40	41	12	24	41
"X1161"	40	30	28	39	41	12	23	39
"X11613"	37	31	32	37	40	12	24	42
"X11621"	40	30	33	40	41	12	24	41
"X11622"	35	26	27	34	33	12	23	36
"X11623"	36	31	31	36	36	12	24	39
"X11625"	39	29	33	38	39	12	24	41
"X11626"	40	31	30	39	37	11	24	40
"X11627"	41	31	33	39	41	12	24	42
"X11629"	38	27	31	35	38	12	24	40
"X11630"	39	27	28	35	38	11	23	40
"X11636"	32	25	23	33	37	11	24	38
"X11638"	37	27	29	36	39	10	24	38
"X11639"	39	31	32	40	40	12	24	42
"X11640"	37	28	31	37	35	10	22	35
"X11643"	40	31	32	38	40	12	24	41
"X11644"	38	28	33	36	39	12	23	41
"X11649"	41	30	33	39	39	12	24	40
"X1165"	39	30	28	39	40	12	23	39
"X11650"	39	28	31	38	41	12	23	40
"X11651"	38	30	31	39	39	12	24	39
"X11660"	35	25	32	35	34	11	23	38
"X11665"	35	28	28	37	34	10	23	36
"X11669"	40	31	33	40	41	12	23	42
"X1167"	41	29	33	40	39	12	24	41
"X11678"	36	27	30	36	39	11	24	37
"X11680"	37	28	31	36	38	11	23	38
